source,label,text
hasoc2021,1,"@POTUS Allowing #India to produce a billion doses of AstraZeneca vaccine by the end of 2022 is too little/too late. Why not allow India pharmaceutical companies to produce #Pfizer &amp; #Moderna vaccines now? Oh that's right, we have to protect corporate profits over saving lives."
hasoc2021,1,"@MrSinha_ @Nidhi Nidhi Razvan,Columbia professor pagal hai,IT minister will make vaccine then what the health Minister will do .Talk sense you chamchi."
hasoc2021,0,@ImranHussaain Keep it up
hasoc2021,0,@MahuaMoitra It should
hasoc2021,0,@RiseofBurnol @srivatsayb China doesn't give importance to religion. Will you do the same?
hasoc2021,0,@avinashsingh789 @srivatsayb Please join Koo india own Twitter
hasoc2021,0,"@MahuaMoitra Ofcourse neither it involves the matter f corporates,common man is destined 2 suffer !!"
hasoc2021,0,@ImranHussaain @AamAadmiParty Ye Duniya badi Zalim Hai. Eid Mubarak
hasoc2021,0,@BefittingFacts @caustickonar @MahuaMoitra @priyankac19 Please include the queen of drama queens @SupriyaShrinate too 😂😂
hasoc2021,0,@MahuaMoitra How can SC be so insensitive? Looks like SC is new Ministry.
hasoc2021,0,"@NTGLAWFIRM @Profdilipmandal @moonstar4u @mhadevkidiwani @ankittiwari900 @DrBhagwatiPras3 @doctorrichabjp ब्राह्मण शब्द बना है ""ब्रह्म +अणु"" 
   पृथ्वी पर उपस्थित सभी जीव ब्रह्म के अंश है तो तुम कोई स्पेशल ऊंची जाति के नही हो ।"
hasoc2021,0,@Faizz634 @Charlie_Hebdo_
hasoc2021,0,"@MahuaMoitra Samewise, if safe drive save life bears the logo of mamata banerjee,  the death report of victim  of road accident in bengal  should  bear the logo of mamata didi... According to your opinion 😄"
hasoc2021,0,@MahuaMoitra ... And his signature!
hasoc2021,0,@hoorsheikh_fiza @MahuaMoitra People sitting in power should be questioned about the present situation .
hasoc2021,0,"@MahuaMoitra बिल्कुल सही कहा। सीधा हिसाब है, ताली सरदार को तो गली भी सरदार को।"
hasoc2021,0,@amitpesit She means vaccination certificates in USA or any other country are without photos; why here
hasoc2021,0,@anilpricha @ashokepandit @srinivasiyc Tajinder Bagga paji hai abhi help karne ko
hasoc2021,0,@birlashivang You are special aren't you.
hasoc2021,0,"@sushantsareen India was able to screw Huawei when it came to 5G, so don't question their ability to screw Twitter if shit hits the fan. TikTok too, with 120 million users was shown the door, and not allowed a comeback. 
We are a market of billion+ users, we can decide what we can do, and when."
hasoc2021,0,"@Rofl_Swara @WasiuddinSiddi1 Unfortunately, the TROLLERS forget that by using all the NONSENSE they are PROVING their UPBRINGING and the kind of PARENTS / GIRU they have.,."
hasoc2021,0,@ashokepandit Bhakts have started their narrative in losing cause. Good one.
hasoc2022,1,"@mansoor2in @HumbleRekha Bro siva manidir on sivjis name ,Makka and madina on prophet Muhammad's name ,Ram mandir on Ramjis name because they are our faith or emotion but...who is Babar whose name you all r claim a mosque because ""except Allha or Muhammad there is nothing to be accepted in Islam"""
hasoc2022,1,"@Kalburgism So basically, Twitter Character Certificate is mandatory for Padma awards. https://t.co/kwpoaExkD9"
hasoc2022,1,"@Pooja33617930 @KapilMishra_IND For the record, I don't endorse any political party and you should try click-open the photos first before showing off your screenshot &amp; editing skills lol.

But I understand you only care about spreading hate."
hasoc2022,1,"@AskAnshul https://t.co/AoFkd49faV

And then they celebrated"
hasoc2022,1,"@AniruddhINC @naveenjindalbjp @DelhiPolice @CPDelhi @LtGovDelhi Sharma hatakar shekh Mohammad laga lo, tab bologe to ek baar sochenge bhi ki bhadkau hai ki nahi. Or agar Sharma ban kar bologe kahi se bhadkau nahi hai"
hasoc2022,1,"@Vasavadatta16 Forget about us Choube ji..Tell us what has you and your caste people done other than begging for alms?
Yes you are so brave that you are not able to put your own picture in DP..
Become a Mard Choube ji then come and rant on my T/L..Dont act like Shikhandi.."
hasoc2022,1,@TNSubbaRao1 @SriRamya21 @srivatsayb Hey bhagwan! What's the point of studying so much if you remain an idiot
hasoc2022,1,@Joydas @NSaina When Sidharth gives his opinion he is real hero and when saina gives her then she is IT cell employee just bcz she is women all leftist are Targeting her.
hasoc2022,1,@NooriKhanINC @khanumarfa 😂😂😂
hasoc2022,1,"@RahulChowdari3 @naveenjindalbjp @DelhiPolice @CPDelhi @LtGovDelhi '
terrorist 

🤫🤫🤫🤫🦶🏼🦶🏼🦶🏼🦶🏼🦶🏼"
hasoc2022,1,@Go_Movie_Mango imagine even how hindu felt when they knew that some like ISIS exist i their own religion thats called Hindutva…
hasoc2022,1,"@zoo_bear kyun freedom of speech sirf mulle, JNU, AMU aur Congressi ke liye hai, Gandhi ki janam patri kholi jaayegi ruk jao, phir dekhte hain kiska zindabaad hota hai"
hasoc2022,1,"Lauren Boebert asked a Jewish group visiting the Capitol whether they were doing “reconnaissance” and said she was “too short to see anyone’s yarmulkes”

This comes just days after a terrorist held Jewish congregants hostage at a synagogue

What an anti-Semitic piece of scum"
hasoc2022,1,"@paradiseonEAR18 @shantanuadv0009 Google search hai bkl ye kbhi bhi bdl skta hai, aur tumllogo ko to google boycott kr dena chahiye uska ceo ek kaafir jo hai 😂😂😂"
hasoc2022,1,@im_irfan_khan @OpIndia_com Kaagaj dhoooond ke rakhna. Pata chala aisi hi tumhe bhi peet ke bhagaya jaa raha.
hasoc2022,1,"@m_devrari @LadyVelvet_HFQ Muslims masjids are encroached in Gurgoan administration is not allowing opening of masjids, so they were alloted 37  open places for Friday prayers but Hindutva goons are terrorising Muslims of #Gurgoan every Friday. Hear first hand report https://t.co/u6Yh1qXuz4 #OpenMosques"
hasoc2022,1,"@lindyli @DeniseJenks9 What a perfect name for her, though Squeaky Fromme was much more intelligent."
hasoc2022,1,"@manojmuntashir १) जब आपको ग से गधा आपत्तिजनक है तो फिर ख से खुदा और अ से अल्लाह से भी होगा ?
  शिक्षा के  किसी भी संस्था में कोई भी धार्मिक शब्द नहीं रहने चाहिए ,चाहे वो मदरसा हो, या बाल मंदिर  l इससे क्या फर्क पड़ता है हम किसके वंशज है ? फर्क इससे पड़ना चाहिए कि हम मानवता और भाईचारे के कितने."
hasoc2022,1,@lindyli “Squeaky”? Wasn’t she in the Manson family? Who later tried to assassinate Pres. Ford?
hasoc2022,1,"@derekobrienmp With so much of negativity inside you still tested positive for Covid strange. 
Get well soon"
hasoc2022,0,"@khanumarfa @narendramodi @khanumarfa आप तो बहुत योग्य है।

क्या आप बता सकती है समाज के सबसे नज़रंदाज़ किए जाने वाले वर्ग ट्रांसजेंडर को सबसे पहले पद्म पुरस्कार किस सरकार ने दिया था ?

इस बार भी दिया गया, क्या ये स्वागत योग्य क़दम नहीं है ?"
hasoc2022,0,@ParitoshDeore @MajorPoonia 300 saal baad fanshi to nahi chadha sakte par jo apna hai usko wapas liya jayega ..
hasoc2022,0,"@shubhankar10_ @Samriddhi0809 I challenge if you Watch only 10 videos of each then you'll become ex muslim.

1) Ex-Muslim Zafar Heretic
2) Amina Sardar
3) Indian ExMuslim Sahil"
hasoc2022,0,"Pulwama encounter | Two terrorists killed, their identity is being ascertained; search operation underway: Kashmir Zone Police"
hasoc2022,0,@Vitthal_Teedi Peaceful log hain na
hasoc2022,0,@NooriKhanINC @khanumarfa तुम्हारे लिए पाकिस्तान और अफगानिस्ता बांग्लादेश है वनः से पुरस्कार ले लो।
hasoc2022,0,@naveenjindalbjp @DelhiPolice @CPDelhi @LtGovDelhi We are with you
hasoc2022,0,"@alanwilkins22 @MashwaniAzhar @BLACKCAPS @TheRealPCB Sadly it’s all just politics Alan, as all this drama has got nothing to do with the security or any incompetence of any of the Govt institutions at all, it’s sheer politics…. https://t.co/pAY6M4Bh8s"
hasoc2022,0,@OpIndia_com Ye photo dalna tha https://t.co/mHbwYmn8gQ
hasoc2022,0,"@Khanajaz720 @MrSinha_ Abu Tahir al-Jannabi is just a name, please explain the beautiful meaning!"
hasoc2022,0,"@Manish_117 @AskAnshul Spot on. This is just the tip of the iceberg - https://t.co/5Jn4KY0gYJ keep sharing and spreading knowledge widely, thank you. #india #indian #bharat 👏🙌👏🕉 🙏 🔥🔥"
hasoc2022,0,@MajorPoonia If one person i hv to consider from mughal i will choose only n only akbar....being an islamic ruler he also praised other religion too...and that was his greatness...but none other mughal rulers did a bit of it rather start demolishing other religion...
hasoc2022,0,@GParspur @DChaurasia2312 @gondapolice @dmgonda2 @Viveksbarmeri अधिकतर रिश्वत गलत काम की दी जाती है
hasoc2022,0,"@naveenjindalbjp @DelhiPolice @CPDelhi @LtGovDelhi भारतीय जनता पार्टी , ""उनका"" विश्वास जीत कर ही मानेगी..।
चाहे उसके लिए कितनी भी बलि देनी पड़ें😌
भाजपा ने @NupurSharmaBJP से भी पल्ला झाड़ लिया.।
पार्टी के राष्ट्रीय महासचिव ने साफ कह दिया है कि पार्टी प्रवक्ता ने जो कहा, वो उसका निजी मामला है, भाजपा इत्तेफाक नहीं रखती🖐️
गज्बेहै👌"
hasoc2022,0,"@OpIndia_com Let BJP come to power in centre with majority, uske baad sab theek kar denge Modi ji 😊"
hasoc2022,0,@_sabanaqvi How long will we demand recognition from Western countries for our work?
hasoc2022,0,"@NSaina Cheap publicity 
What proof you have over attack on PM?
U strayed course

Question  Home Minister
SPG, BSF N CRPF miserably failed to chalk out route when hurriedly changing PM travel first by road instead of air and later by alternate road
All gimmick to save failed rally"
hasoc2022,0,@surajit2909 Yes. Thx
hasoc2022,0,@derekobrienmp Wish you a speedy recovery 🙏
hasoc2022,0,@Bipinkrfan @rashtrapatibhvn Do u know 1947 ? But she knew only 2014 …..thats the difference ….
